userId,movieId,rating,timestamp
1,1,3.4,964982703
1,2,4.9,964982703
1,3,2.7,964982703
1,4,2.7,964982703
1,5,3.3,964982703
1,6,3.1,964982703
1,7,4.4,964982703
1,8,3.0,964982703
1,9,4.2,964982703
1,10,2.8,964982703
2,1,2.7,964982703
2,2,3.0,964982703
2,3,2.9,964982703
2,4,3.5,964982703
2,5,2.6,964982703
2,6,4.4,964982703
2,7,2.8,964982703
2,8,3.9,964982703
2,9,3.4,964982703
2,10,4.2,964982703
3,1,4.9,964982703
3,2,3.8,964982703
3,3,3.3,964982703
3,4,3.5,964982703
3,5,3.0,964982703
3,6,4.3,964982703
3,7,4.7,964982703
3,8,4.4,964982703
3,9,2.8,964982703
3,10,2.9,964982703
4,1,4.5,964982703
4,2,2.6,964982703
4,3,4.8,964982703
4,4,4.4,964982703
4,5,3.2,964982703
4,6,3.8,964982703
4,7,3.6,964982703
4,8,3.6,964982703
4,9,3.4,964982703
4,10,4.2,964982703
5,1,2.5,964982703
5,2,3.7,964982703
5,3,3.8,964982703
5,4,4.3,964982703
5,5,5.0,964982703
5,6,3.9,964982703
5,7,3.2,964982703
5,8,4.8,964982703
5,9,3.9,964982703
5,10,4.5,964982703
6,1,4.3,964982703
6,2,2.5,964982703
6,3,3.0,964982703
6,4,3.0,964982703
6,5,2.9,964982703
6,6,3.9,964982703
6,7,2.5,964982703
6,8,3.2,964982703
6,9,3.8,964982703
6,10,3.1,964982703
7,1,4.4,964982703
7,2,4.3,964982703
7,3,4.9,964982703
7,4,2.8,964982703
7,5,4.4,964982703
7,6,4.4,964982703
7,7,3.3,964982703
7,8,4.8,964982703
7,9,2.7,964982703
7,10,3.1,964982703
8,1,4.6,964982703
8,2,5.0,964982703
8,3,3.5,964982703
8,4,3.8,964982703
8,5,4.7,964982703
8,6,3.0,964982703
8,7,3.4,964982703
8,8,3.7,964982703
8,9,4.8,964982703
8,10,3.7,964982703
9,1,5.0,964982703
9,2,3.9,964982703
9,3,4.7,964982703
9,4,4.2,964982703
9,5,4.7,964982703
9,6,3.3,964982703
9,7,3.3,964982703
9,8,4.6,964982703
9,9,4.7,964982703
9,10,4.1,964982703
10,1,4.2,964982703
10,2,3.8,964982703
10,3,3.5,964982703
10,4,4.3,964982703
10,5,3.6,964982703
10,6,3.6,964982703
10,7,3.0,964982703
10,8,4.8,964982703
10,9,3.1,964982703
10,10,3.9,964982703
